ct_key,median_rental_price,average_annual_rent_as_percentage_of_property_value,farm_score,pop_density,densely_urban_score,urban_score,suburban_score,rural_score,remote_score,built 1995 or later,built 1970-1994,built 1940-1969,built before 1940,single_family_detached_pct,rowhouses_and_attached_homes_pct,small_apt_buildings_pct,complexes/high_rise_apt_pct,mobile_home_pct,0_bedroom_pct,1_bedroom_pct,2_bedroom_pct,3_bedroom_pct,4_bedroom_pct,5_bedroom_pct,homeownership_rate,rental_rate,seasonal_housing_pct,vacant_homes_pct,family_friendly_score,first_time_homebuyer_score,luxury_communities_score,retirement_friendly_score,young_single_professional_score,college_student_friendly_score,commute_under_15_min_pct,commute_15-30_min_pct,commute_30-45_min_pct,commute_45-60_min_pct,commute_over_60_min_pct,violent_crime_rate,property_crime_rate,standardized_test_score_percentile,pct_pop_at_least_college_degree,children_poverty_pct,student_to_teacher_ratio_sd,state_index_total_achievement_sd,national_index_total_achievement_sd,national_percentile_total_achievement_sd,state_percentile_total_achievement_sd,average_number_of_students_per_school_sd,number_of_students_sc,student_to_teacher_ratio_sc,state_index_total_achievement_sc,national_index_total_achievement_sc,national_percentile_total_achievement_sc,state_percentile_total_achievement_sc,census_population,<18,18-24,25-34,35-49,50-59,60-64,65-74,75+,Hispanic,White,Black,Asian,linear_pop_trend_since_2010,avg_annual_pop_change_since_2010,linear_pop_trend_since_2014,avg_annual_pop_change_since_2014,annual_births_per_resident,workforce_fraction,car,carpool,public_transportation,walk,WFH,other_mode_of_transit,median_household_income,median_family_income,median_nonfamily_income,mean_household_income,mean_family_income,mean_nonfamily_income,family_households_fraction,nonfamily_households_fraction,STEM_jobs,education&health_care,total_households,avg_family_size,avg_nonfamily_size,avg_household_size,<200k,200-300k,300-400k,400-500k,500-750k,750-1000k,>1M,married,divorced/separated/widowed,never_married,percent_mortgage,median_mortgage_value,vacancy_rate,built 2014 or later,built 2010-2013,built 2000-2009
8001007801,1316.0,6.024884,100.0,15066.473216999999,7.0,10.0,33.0,83.0,93.0,13.033873,45.729013,36.745214000000004,4.4919,19.072165,4.639175,12.81296,63.4757,0.0,10.824742,42.341679,32.621502,6.7010309999999995,6.185567,1.325479,8.234096000000001,91.765904,0.0,5.743741,88.003519,88.70961199999999,93.683181,99.86664499999999,53.691517000000005,88.873766,11.347926,49.596773999999996,17.914747,21.140553,0.0,14.201501,49.839228000000006,11.341791,0.074121,0.420058,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,485.0,16.649502,1.0,2.0,13.874447,3.830084,4137,0.3359922649262751,0.08677785835146241,0.17089678510998307,0.23809523809523808,0.06212231085327532,0.05293691080493111,0.032148900169204735,0.02102973168963017,0.45975344452501815,0.14744984288131496,0.11771815325114818,0.23930384336475707,0.03564544242797089,0.03313542213014725,0.011038804531212339,0.0016377467225200358,0.014503263234227702,0.4230118443316413,0.44571428571428573,0.2582857142857143,0.20457142857142857,0.029714285714285714,0.02,0.04171428571428572,32744,40921,19534,42004,49152,30554,0.5953125,0.4046875,17.2,8.7,1280,4.37,1.29,3.18,0.42990654205607476,0.42990654205607476,0.0,0.0,0.08411214953271028,0.0,0.056074766355140186,33.7,22.8,43.5,0.8037383177570093,173000.0,0.05743740795287187,0.0,0.0,0.13033873343151695
8001007802,1239.0,9.187587,100.0,15270.696288,7.0,10.0,33.0,83.0,93.0,1.555412,53.856124,43.097861,1.4906030000000001,15.942967999999999,3.370058,3.4348669999999997,76.085548,1.1665590000000001,3.240441,46.143876,37.070642,8.101102000000001,5.4439400000000004,0.0,8.741817,91.258183,0.0,6.351264,94.60667099999999,88.95150100000001,96.10127299999999,99.907889,52.73985,91.316781,9.666506,45.915901,23.006283,17.738038,3.6732720000000003,16.498137,59.872271999999995,8.345964,0.029776999999999998,0.460476,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,336.0,18.300654,1.0,1.0,7.14554,0.31337,4664,0.2868782161234991,0.10827615780445969,0.1640222984562607,0.27551457975986277,0.08254716981132075,0.03366209262435677,0.03216123499142367,0.016938250428816467,0.5698970840480274,0.1350771869639794,0.18267581475128644,0.06775300171526587,0.0334132906894101,0.02952894692309681,0.024964605946201042,0.024260263146498016,0.01265008576329331,0.4472555746140652,0.5431447746883988,0.23346116970278044,0.16059443911792906,0.012464046021093002,0.009108341323106424,0.04122722914669223,30598,31685,26144,41771,41349,39394,0.6608996539792388,0.3391003460207612,16.6,6.1,1445,3.83,1.74,3.21,0.47863247863247865,0.5213675213675214,0.0,0.0,0.0,0.0,0.0,34.1,16.099999999999998,49.8,0.7244094488188977,256600.0,0.06351263771872975,0.0,0.0,0.015554115359688918
8001007900,1482.0,10.041348,100.0,8644.378631,14.0,6.0,26.0,76.0,86.0,2.57044,39.001483,49.085516999999996,9.342561,51.75482,3.3119129999999997,5.6351949999999995,39.298072,0.0,4.201681,18.388532,37.716263,25.259516,12.357884,2.076125,34.526095,65.473905,0.0,5.882353,82.33523100000001,46.875042,81.712204,96.96994699999999,50.823170000000005,61.079491000000004,11.917467,46.567058,22.198506,16.435432000000002,2.881537,11.881188,47.164716,9.550928,0.151132,0.279825,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,109.0,10.2689585,1.0,1.0,6.0130035,1.602217,5684,0.2941590429275158,0.10749472202674173,0.20091484869809992,0.25,0.07512315270935961,0.03360309641097818,0.02498240675580577,0.013722730471498945,0.5520760028149191,0.2262491203377903,0.14373680506685432,0.020935960591133004,-0.018517647058823528,-0.013602081295424404,-0.029572225666460023,-0.030480327408307483,0.006509500351864884,0.5014074595355383,0.6754385964912281,0.16842105263157894,0.09017543859649123,0.02982456140350877,0.016140350877192983,0.02,41738,47163,30506,48359,53658,38016,0.5761554621848739,0.42384453781512604,10.2,13.7,1904,3.92,1.59,2.98,0.5950155763239875,0.21339563862928349,0.17601246105919002,0.0,0.0,0.0,0.01557632398753894,38.7,14.9,46.5,0.8603945371775418,174000.0,0.058823529411764705,0.002965892239248641,0.014829461196243203,0.007909045971329708
8001008000,1499.0,7.532211,100.0,7448.779495999999,17.0,3.0,23.0,73.0,83.0,0.767123,23.342466,73.643836,2.246575,73.534247,5.424658,9.972603,11.013699,0.054795,0.054795,12.931507,21.972603,29.972603000000003,23.178082,11.890411,51.528766999999995,48.471233000000005,0.0,2.794521,66.152493,27.052336999999998,79.21253,90.990954,58.412211,74.119442,11.238025,36.440678000000005,18.865144,23.139278,10.316875,13.061651,46.151167,10.130372999999999,0.119054,0.280513,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,553.5,18.225851499999997,1.0,1.5,12.736336,3.4296655,6241,0.3310366928376863,0.07947444319820542,0.1736901137638199,0.20044864605031246,0.09469636276237782,0.03428937670245153,0.06537413875981413,0.02099022592533248,0.5212305720237141,0.21535010414997596,0.14308604390322063,0.05511937189552956,0.007367518619728879,0.001278890397830297,0.010184401962442906,0.01502392661410882,0.016663996154462426,0.4441595898093254,0.7337662337662337,0.1525974025974026,0.07828282828282829,0.005411255411255411,0.021284271284271284,0.008658008658008658,50483,52450,30114,60798,67342,41587,0.6882750845546787,0.3117249154453213,17.8,14.2,1774,4.42,1.35,3.51,0.36333333333333334,0.5266666666666666,0.08666666666666667,0.015555555555555555,0.0077777777777777776,0.0,0.0,43.6,18.4,37.9,0.7573770491803279,223400.0,0.027945205479452055,0.0038356164383561643,0.0,0.0038356164383561643
8001008100,2203.0,10.072085,100.0,820.952275,71.0,51.0,1.0,19.0,29.0,86.148238,12.758202,1.09356,0.0,3.159174,0.0,0.0,90.400972,6.439854,13.122722,47.99514,30.012151,8.140948,0.7290399999999999,0.0,3.009384,96.990616,0.8505469999999999,13.608748,99.648052,40.117025,28.282155,78.085732,16.726039,99.000522,35.907336,37.837838,11.711712,14.543115,0.0,10.538642,56.206089,12.581497,0.610526,0.16964300000000002,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,624.0588235294117,17.696948764705883,1.8235294117647058,2.2941176470588234,18.845903882352946,12.165396588235295,1525,0.07540983606557378,0.17704918032786884,0.39868852459016396,0.15540983606557376,0.05442622950819672,0.021639344262295083,0.04262295081967213,0.07475409836065573,0.22819672131147542,0.5783606557377049,0.03081967213114754,0.09770491803278689,0.1,0.1,0.1,0.09753829439434639,0.009836065573770493,0.4970491803278689,0.5646437994722955,0.12269129287598944,0.010554089709762533,0.23218997361477572,0.04353562005277045,0.026385224274406333,46875,64821,41739,61814,90730,50432,0.2770745428973277,0.7229254571026723,13.8,38.4,711,2.54,1.45,1.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,17.1,52.1,0.2692307692307692,34400.0,0.13608748481166463,0.06318347509113001,0.29040097205346294,0.5078979343863913
8001008200,2190.0,9.419278,100.0,3255.950515,41.0,21.0,0.0,49.0,59.0,0.850785,18.390051999999997,80.759162,0.0,95.811518,1.570681,0.0,2.617801,0.0,0.0,2.617801,5.824607,35.863873999999996,33.769634,21.924084,71.249946,28.750054,0.0,0.0,48.583959,59.251902,72.622694,89.095108,64.226244,93.810663,23.629568,37.749169,25.456811,11.54485,1.619601,10.211524,36.652079,12.682216,0.117309,0.14015999999999998,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,380.0,17.314377999999998,1.0,2.0,13.115999500000001,3.360028,6133,0.2828958095548671,0.06522093592043046,0.19973911625631827,0.16778085765530734,0.13517038969509212,0.03228436328061308,0.05233980107614544,0.06456872656122616,0.4172509375509539,0.31469101581607695,0.16158486874286646,0.03244741562041415,0.04575213488066565,0.038139747284839105,0.05402208201892744,0.0488768555233073,0.006522093592043046,0.41937061796836783,0.7702177293934681,0.07931570762052877,0.06804043545878694,0.007776049766718507,0.06376360808709176,0.01088646967340591,62689,62328,40536,75085,76416,57508,0.7853403141361257,0.21465968586387435,7.1,18.1,1528,4.18,1.52,3.85,0.31902985074626866,0.5326492537313433,0.13805970149253732,0.010261194029850746,0.0,0.0,0.0,44.9,21.6,33.4,0.6878306878306878,231900.0,0.0,0.0,0.0,0.008507853403141362
8001008308,1313.0,7.875043,100.0,3280.077597,41.0,21.0,0.0,49.0,59.0,17.791732,68.236525,13.971743,0.0,21.350078,8.424908,4.029304,20.93145,44.217687,1.622187,10.675039,46.467818,28.623757,11.407639999999999,1.203558,57.987877000000005,42.012122999999995,0.0,3.976975,79.549891,40.552155,85.52271,89.18446999999999,60.705486,78.668646,14.202247,41.797753,25.033707999999997,16.269663,2.696629,9.357567,41.929097999999996,14.433562,0.10349000000000001,0.35577600000000004,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,493.0,17.689272,1.0,1.0,7.209502,0.417827,5545,0.28710550045085664,0.11343552750225429,0.11794409377817854,0.21677186654643824,0.12353471596032461,0.0351668169522092,0.06618575293056808,0.039855725879170426,0.4412984670874662,0.25951307484220015,0.16952209197475204,0.10351668169522092,-0.005389834473884308,-0.002868529137622973,-0.0075104311543810875,-0.008927840979987963,0.005590622182146078,0.4212804328223625,0.7290239726027398,0.0958904109589041,0.1014554794520548,0.025256849315068493,0.048373287671232876,0.0,41619,43229,30244,51409,54989,42474,0.6425068119891009,0.3574931880108992,15.7,17.3,1835,3.84,1.36,3.02,0.4612736660929432,0.35800344234079173,0.16695352839931152,0.0,0.0,0.0,0.013769363166953529,37.1,22.299999999999997,40.6,0.44090056285178236,184000.0,0.03976975405546834,0.02511773940345369,0.016221873364730507,0.13657770800627944
8001008309,1572.0,13.85174,100.0,693.4743900000001,73.0,53.0,3.0,17.0,27.0,9.369527,85.376532,5.25394,0.0,14.711032999999999,8.143608,6.4798599999999995,6.4798599999999995,63.835377,1.225919,4.640981,32.136602,53.765324,8.231173,0.0,64.81994499999999,35.180054999999996,0.0,5.166375,64.211279,54.981689,81.639834,87.724436,64.632953,98.335121,20.806165,48.666271,16.953170999999998,13.574392000000001,0.0,7.6828520000000005,31.346035999999998,23.965964000000003,0.063917,0.16253900000000002,18.064738,2.0,3.0,22.182277,14.754098,643.4193548387096,551.1764705882352,16.010787823529412,2.1470588235294117,2.735294117647059,22.364480529411768,15.937386470588237,4098,0.337725719863348,0.12396290873596877,0.10248901903367497,0.24328940946803318,0.1056612981942411,0.0314787701317716,0.03074670571010249,0.024646168862859932,0.6781356759394827,0.16910688140556368,0.11322596388482187,0.013909224011713031,0.026063141121402254,0.026262759840445446,0.02285868684139422,0.026080509272175652,0.003416300634455832,0.42093704245973645,0.7976811594202898,0.14202898550724638,0.01681159420289855,0.011014492753623189,0.022028985507246378,0.010434782608695653,55024,55755,50341,57524,59280,47277,0.8199445983379502,0.18005540166204986,15.6,8.8,1083,4.13,1.59,3.78,0.7309236947791165,0.13654618473895583,0.0,0.04417670682730924,0.08835341365461848,0.0,0.0,40.1,17.0,42.9,0.6638176638176638,68700.0,0.05166374781085814,0.01576182136602452,0.01838879159369527,0.0595446584938704
8001008353,1926.0,7.644287000000001,0.0,168.406698,82.0,62.0,12.0,8.0,18.0,35.259890999999996,57.331265,6.633049000000001,0.775795,77.695888,5.0814580000000005,2.094647,13.227307999999999,1.900698,1.202483,2.560124,26.221877000000003,43.328161,20.403413,6.283941000000001,78.820791,21.179209,0.0,0.0,38.139624,38.115701,59.542941000000006,86.54623399999998,61.12092099999999,92.74519500000001,10.695433,35.391324,27.059904,21.803994,5.049346,5.956320000000001,25.976175,32.941777,0.196568,0.15601900000000002,19.35652166666667,4.0,4.333333333333333,35.674340666666666,35.79234966666667,521.9702447163514,600.0,19.5230665,2.0,3.0,26.9772435,18.488858,7907,0.28089035032249904,0.08536739597824712,0.18148476033894018,0.22220816997597065,0.1402554698368534,0.03730871379790059,0.024535221955229544,0.027949917794359427,0.38661945111926144,0.3606930567851271,0.13924370810674086,0.07398507651448084,0.023613231552162852,0.026710977408505577,0.1,0.09222115725744308,0.006955861894523839,0.5616542304287341,0.8858365233055618,0.055392929520378296,0.024544021616752985,0.015311866696689935,0.018914658860616978,0.0,68697,78220,54953,80271,85673,65150,0.6718386346004654,0.3281613653995345,12.2,14.7,2578,3.62,1.76,3.07,0.40348182283666156,0.33128520225294417,0.20430107526881722,0.04198668714797747,0.007680491551459293,0.0,0.011264720942140297,46.3,16.3,37.5,0.8513779527559056,235100.0,0.0,0.05934833204034135,0.04848719937936385,0.2447633824670287
8001008401,1551.0,5.267056,0.0,23.970432000000002,94.0,74.0,24.0,4.0,6.0,30.262390999999997,52.12828,9.562682,8.046647,79.825073,4.314869,0.8163269999999999,3.906706,11.137025999999999,1.282799,3.906706,20.233235999999998,44.664723,22.448979999999995,7.463557000000001,77.656345,22.343655,0.0,3.9650149999999997,41.956061,49.580411,57.13179599999999,74.573125,59.431635,94.74415,12.483039,25.463590999999997,30.800542999999994,27.317956,3.934871,4.403244,24.33372,40.974271,0.16877899999999998,0.09602999999999999,18.723961333333335,5.0,5.0,41.78072133333333,44.99089266666667,428.97331691297205,342.3333333333333,17.26116233333333,4.666666666666667,5.0,44.17946866666667,41.956315,4710,0.2426751592356688,0.07048832271762208,0.15817409766454352,0.1762208067940552,0.16645435244161358,0.07197452229299363,0.09490445859872612,0.01910828025477707,0.15392781316348195,0.8027600849256901,0.005307855626326964,0.007218683651804671,0.025776397515527953,0.02556963317006426,0.03857245854361932,0.03193205134062373,0.005307855626326964,0.5074309978768577,0.8192468619246862,0.0497907949790795,0.007531380753138075,0.027615062761506277,0.07489539748953974,0.02092050209205021,70871,80609,45357,91033,101914,51929,0.7279902853673346,0.27200971463266543,8.8,11.0,1647,3.25,1.26,2.86,0.25491803278688524,0.16065573770491803,0.17704918032786884,0.1885245901639344,0.17540983606557378,0.003278688524590164,0.04016393442622951,60.2,13.8,26.1,0.7920250195465207,338200.0,0.03965014577259475,0.03206997084548105,0.0058309037900874635,0.26472303206997083
